,report,date,transcript_source
0,8903264.0,2003-07-24,0
1,9912850.0,2004-11-02,0
2,10220609.0,2005-04-01,0
3,24746194.0,2014-10-23,0
6,24746378.0,2014-10-23,0
7,24867118.0,2014-11-06,0
8,25323279.0,2015-01-27,0
10,25560037.0,2015-03-03,0
12,26072237.0,2015-05-14,0
14,26942167.0,2015-09-09,0
17,28233779.0,2016-01-29,0
18,28233780.0,2016-01-29,0
19,66880347.0,2019-03-05,0
20,68711791.0,2020-01-23,0
21,68711981.0,2020-01-23,0
22,70033378.0,2020-07-23,0
24,70033592.0,2020-07-23,0
25,70639467.0,2020-10-22,0
27,70641000.0,2020-10-22,0
29,71336882.0,2021-01-28,0
32,71337018.0,2021-01-28,0
34,71925976.0,2021-04-22,0
36,71926079.0,2021-04-22,0
37,15353230.0,2022-10-20,1
38,4756390.0,2012-03-22,1
40,8904166.0,2003-07-28,0
41,8904191.0,2003-07-28,0
42,8904260.0,2003-07-28,0
43,8904268.0,2003-07-28,0
44,8904289.0,2003-07-28,0
45,12461004.0,2007-07-26,0
47,14109356.0,2008-11-04,0
48,17230256.0,2011-02-08,0
49,17599620.0,2011-05-12,0
51,17962995.0,2011-08-11,0
52,20744488.0,2012-09-06,0
54,21503697.0,2013-02-22,0
55,21503698.0,2013-02-22,0
56,21626158.0,2013-03-20,0
57,23322313.0,2014-02-21,0
58,15260586.0,2022-08-03,1
64,72607464.0,2021-07-27,0
68,73370380.0,2021-11-03,0
69,8912397.0,2004-01-16,0
70,16634405.0,2010-09-13,0
71,13889651.0,2008-09-05,0
72,13890436.0,2008-09-05,0
73,23227298.0,2014-02-07,0
74,1817656.0,2008-04-02,1
75,13703262.0,2008-07-18,0
76,13703466.0,2008-07-18,0
77,14061232.0,2008-10-24,0
78,14507619.0,2009-02-27,0
79,17323866.0,2011-03-04,0
80,20086098.0,2012-04-21,0
81,20524568.0,2012-07-20,0
82,65400390.0,2018-07-20,0
83,9889835.0,2004-10-26,0
84,10112283.0,2005-02-07,0
85,11956411.0,2007-02-07,0
86,13121320.0,2008-02-07,0
88,13466334.0,2008-05-08,0
89,23925433.0,2014-06-03,0
90,24704890.0,2014-10-16,0
91,24705413.0,2014-10-16,0
92,9922341.0,2004-11-04,0
93,62680121.0,2017-05-22,0
94,73050120.0,2021-09-28,0
97,579354.0,2002-02-21,1
98,23050926.0,2002-04-29,0
99,10497256.0,2005-07-28,0
100,11464635.0,2006-07-27,0
101,11465248.0,2006-07-27,0
102,11960021.0,2007-02-08,0
103,1697422.0,2007-11-14,1
105,13756898.0,2008-07-31,0
106,14081714.0,2008-10-29,0
107,14259720.0,2008-12-16,0
108,15794684.0,2010-02-05,0
109,17213888.0,2011-02-04,0
110,3701079.0,2011-02-08,1
111,17228443.0,2011-02-16,0
112,17333734.0,2011-03-07,0
114,17586168.0,2011-05-10,0
116,4247023.0,2012-02-01,1
117,18726086.0,2012-04-26,0
120,20183392.0,2012-05-07,0
121,20386639.0,2012-06-20,0
122,21193373.0,2012-12-12,0
125,21388657.0,2013-01-31,0
